Running scope as unit: run-rdb4979064573424b96cec9901eb607a2.scope
chipdb: /home/kelvin/side-project/eisenjoch/chip_database/xc7_large.bin
design: /home/kelvin/side-project/eisenjoch/benchmark/ispd/generated/2016/FPGA01/FPGA01.json
RSS_SAMPLE t=0.0s rss=3MB hwm=3MB
RSS_SAMPLE t=0.3s rss=417MB hwm=417MB
RSS_SAMPLE t=0.5s rss=710MB hwm=710MB
RSS_SAMPLE t=0.8s rss=823MB hwm=823MB
RSS_SAMPLE t=1.0s rss=818MB hwm=822MB
RSS_SAMPLE t=1.3s rss=818MB hwm=822MB
RSS_SAMPLE t=1.5s rss=820MB hwm=822MB
cfg: max_outer_iters=11 blend_alpha=0.5 hardening_step=0 graph_model=TwoLevelPip
  topological compress: density=0.60 target_tiles=15971 final_tiles=15777 scale=1.851 center=(205.1,111.0)
  topological init: n_movable=76660, n_edges=229053, max_layer=26775, back_edges=54022, n_anchored=0
RSS_SAMPLE t=1.8s rss=820MB hwm=822MB
RSS_SAMPLE t=2.0s rss=820MB hwm=822MB
RSS_SAMPLE t=2.3s rss=820MB hwm=822MB
RSS_SAMPLE t=2.5s rss=820MB hwm=822MB
RSS_SAMPLE t=2.8s rss=820MB hwm=822MB
RSS_SAMPLE t=3.0s rss=820MB hwm=822MB
RSS_SAMPLE t=3.3s rss=820MB hwm=822MB
RSS_SAMPLE t=3.5s rss=820MB hwm=822MB
RSS_SAMPLE t=3.8s rss=820MB hwm=822MB
RSS_SAMPLE t=4.0s rss=820MB hwm=822MB
RSS_SAMPLE t=4.3s rss=820MB hwm=822MB
RSS_SAMPLE t=4.5s rss=820MB hwm=822MB
RSS_SAMPLE t=4.8s rss=820MB hwm=822MB
RSS_SAMPLE t=5.0s rss=820MB hwm=822MB
RSS_SAMPLE t=5.3s rss=820MB hwm=822MB
RSS_SAMPLE t=5.5s rss=820MB hwm=822MB
RSS_SAMPLE t=5.8s rss=820MB hwm=822MB
RSS_SAMPLE t=6.0s rss=820MB hwm=822MB
RSS_SAMPLE t=6.3s rss=820MB hwm=822MB
RSS_SAMPLE t=6.5s rss=820MB hwm=822MB
RSS_SAMPLE t=6.8s rss=820MB hwm=822MB
RSS_SAMPLE t=7.0s rss=820MB hwm=822MB
RSS_SAMPLE t=7.3s rss=820MB hwm=822MB
RSS_SAMPLE t=7.5s rss=820MB hwm=822MB
RSS_SAMPLE t=7.8s rss=820MB hwm=822MB
RSS_SAMPLE t=8.0s rss=820MB hwm=822MB
RSS_SAMPLE t=8.3s rss=820MB hwm=822MB
RSS_SAMPLE t=8.5s rss=820MB hwm=822MB
RSS_SAMPLE t=8.8s rss=820MB hwm=822MB
RSS_SAMPLE t=9.0s rss=820MB hwm=822MB
RSS_SAMPLE t=9.3s rss=820MB hwm=822MB
RSS_SAMPLE t=9.5s rss=820MB hwm=822MB
RSS_SAMPLE t=9.8s rss=820MB hwm=822MB
RSS_SAMPLE t=10.0s rss=820MB hwm=822MB
RSS_SAMPLE t=10.3s rss=820MB hwm=822MB
RSS_SAMPLE t=10.5s rss=820MB hwm=822MB
RSS_SAMPLE t=10.8s rss=820MB hwm=822MB
RSS_SAMPLE t=11.0s rss=820MB hwm=822MB
